Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average
1995,3.57,1.14,0.73,3.23,,,,0.34,1.99,-2.37,,,-0.28,,,,-0.51,1.58,,,,6.97,1.02,1.45
1985,0.98,0.68,2.81,3.51,,0.84,,0.41,1.51,0.23,,,-1.93,1.01,,-0.96,-0.32,1.29,,,,4.69,2.18,1.13
1975,1.58,-0.25,0.02,2.09,-0.11,-0.91,0.98,0.49,2.37,0.30,,1.35,0.27,-0.34,-2.27,0.53,0.67,1.56,,,,1.78,0.66,0.57
1965,1.43,1.00,2.75,4.39,-0.09,0.59,1.79,0.57,3.72,1.83,,1.86,1.33,0.81,-0.52,0.41,0.23,1.37,,,,3.38,1.47,1.49
1955,4.70,-0.40,1.20,0.19,1.54,2.40,1.38,-0.13,4.11,-0.46,,2.34,1.50,-0.63,-0.18,0.96,0.08,2.20,,,,2.83,2.20,1.36
1945,-0.14,-0.31,3.59,-0.23,1.11,1.01,1.34,-0.71,3.75,-1.35,,1.68,0.05,0.72,1.47,1.98,-0.44,2.91,,,-1.36,0.87,4.30,1.01
1935,-1.02,-0.20,3.23,-0.71,1.11,1.33,1.14,-1.32,6.51,-1.56,0.92,1.46,1.46,1.82,2.36,1.45,0.38,2.74,,,-1.87,1.54,1.87,1.08
1925,1.11,-1.18,4.49,-0.02,1.77,-0.42,0.03,-0.51,1.85,-2.08,0.58,0.36,1.20,0.14,-0.84,0.45,-0.67,2.38,,,-2.94,3.95,2.21,0.56
1915,-0.78,-0.85,3.46,1.71,0.33,-0.87,-0.43,-1.75,1.24,-1.14,0.43,0.04,0.19,0.50,0.07,-1.16,-0.69,0.39,,,-2.53,0.86,-0.06,-0.05
1905,2.90,-1.38,1.64,-3.13,-0.38,0.16,-0.82,-1.68,2.34,1.60,0.84,-0.45,3.86,-0.83,-1.72,-1.21,0.69,-0.68,,,-0.77,0.78,-0.13,0.08
1895,1.24,-1.92,0.08,-0.79,0.74,-0.59,1.68,-1.81,1.54,1.34,0.92,0.91,0.95,-0.55,0.59,-0.16,0.02,0.93,,,0.41,0.15,0.82,0.31
1885,0.93,-3.24,0.59,0.71,-0.56,0.28,1.12,-1.19,1.36,0.67,0.66,0.34,-0.95,0.21,-1.73,-1.40,-0.43,0.11,,,0.42,-1.63,-0.46,-0.20
1875,-0.64,-0.67,0.85,1.72,0.32,0.10,0.15,0.99,0.97,0.13,0.54,-0.16,2.79,0.79,0.86,-0.67,-0.89,0.95,,,-0.43,0.92,-0.24,0.40
