  Yr, Mn,    Date,      Date2,     CO2,seasonally adjusted CO2,fit,  seasonally adjusted fit,      CO2 filled, seasonally adjusted filled,Dataset,, The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,
1997,1,35445,1997.0411,365.64,365.15,365.32,364.81,365.64,365.15,BCS,, formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  ,
1997,2,35476,1997.126,365.93,364.5,366.37,364.92,365.93,364.5,BCS,, reported on the 2008A SIO manometric mole fraction scale.  This is the standard           ,
1997,3,35504,1997.2027,366.88,364.7,367.21,365.02,366.88,364.7,BCS,, version of the data most often sought.  The monthly values have been adjusted             ,
1997,4,35535,1997.2877,368.65,365.65,368.15,365.13,368.65,365.65,BCS,, to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,
1997,5,35565,1997.3699,369.71,366.23,368.72,365.24,369.71,366.23,BCS,, adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,
1997,6,35596,1997.4548,366.83,365.05,367.08,365.35,366.83,365.05,BCS,, subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,
1997,7,35626,1997.537,,,364.15,365.45,364.15,365.45,BCS,, smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic ,
1997,8,35657,1997.6219,362.5,365.59,362.46,365.56,362.5,365.59,BCS,, functions with linear gain.  Column 8 is the same smoothed version with the seasonal      ,
1997,9,35688,1997.7068,363.06,366.54,362.2,365.68,363.06,366.54,BCS,, cycle removed.  Column 9 is identical to Column 5 except that the missing values from     ,
1997,10,35718,1997.789,362.95,365.84,362.93,365.8,362.95,365.84,BCS,, Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  ,
1997,11,35749,1997.874,364.02,365.34,364.64,365.93,364.02,365.34,BCS,, except missing values have been filled with values from Column 8.  Missing values are     ,
1997,12,35779,1997.9562,366.34,366.5,365.94,366.09,366.34,366.5,BCS,, denoted by -99.99                                                                         ,
1998,1,35810,1998.0411,366.09,365.59,366.77,366.26,366.09,365.59,BCS,,,
1998,2,35841,1998.126,367.76,366.33,367.92,366.47,367.76,366.33,BCS,,BCS,Baja California Sur
1998,3,35869,1998.2027,368.14,365.96,368.86,366.67,368.14,365.96,BCS,,NZD,"Baring Head, New Zealand"
1998,4,35900,1998.2877,369.66,366.66,369.94,366.92,369.66,366.66,BCS,,SPO,South Pole
1998,5,35930,1998.3699,370.49,367.01,370.67,367.19,370.49,367.01,BCS,,SAM,American Samoa
1998,6,35961,1998.4548,369.17,367.39,369.2,367.47,369.17,367.39,BCS,,PTB,"Pt. Barrow, Alaska"
1998,7,35991,1998.537,367.42,368.68,366.45,367.74,367.42,368.68,BCS,,MLO,"Mauna Loa Observatory, HA"
1998,8,36022,1998.6219,364.95,368.04,364.92,368.02,364.95,368.04,BCS,,CHR,Christmas Island
1998,9,36053,1998.7068,,,364.81,368.29,364.81,368.29,BCS,,ice,Ice Core Data
1998,10,36083,1998.789,365.68,368.57,365.66,368.53,365.68,368.57,BCS,,,
1998,11,36114,1998.874,367.88,369.2,367.47,368.77,367.88,369.2,BCS,,,
1998,12,36144,1998.9562,368.92,369.08,368.82,368.97,368.92,369.08,BCS,,,
1999,1,36175,1999.0411,370.13,369.64,369.66,369.15,370.13,369.64,BCS,,,
1999,2,36206,1999.126,371.58,370.15,370.75,369.3,371.58,370.15,BCS,,,
1999,3,36234,1999.2027,372.1,369.92,371.61,369.42,372.1,369.92,BCS,,,
1999,4,36265,1999.2877,373.93,370.93,372.54,369.52,373.93,370.93,BCS,,,
1999,5,36295,1999.3699,372.92,369.44,373.08,369.6,372.92,369.44,BCS,,,
1999,6,36326,1999.4548,370.44,368.66,371.41,369.68,370.44,368.66,BCS,,,
1999,7,36356,1999.537,367.28,368.54,368.46,369.76,367.28,368.54,BCS,,,
1999,8,36387,1999.6219,369.06,372.15,366.74,369.84,369.06,372.15,BCS,,,
1999,9,36418,1999.7068,365.73,369.21,366.46,369.94,365.73,369.21,BCS,,,
1999,10,36448,1999.789,366.47,369.36,367.17,370.04,366.47,369.36,BCS,,,
1999,11,36479,1999.874,368.26,369.58,368.87,370.16,368.26,369.58,BCS,,,
1999,12,36509,1999.9562,370.66,370.83,370.14,370.29,370.66,370.83,BCS,,,
2000,1,36540,2000.041,370.47,369.98,370.94,370.43,370.47,369.98,BCS,,,
2000,2,36571,2000.1257,372.23,370.8,372.03,370.59,372.23,370.8,BCS,,,
2000,3,36600,2000.2049,373.79,371.6,372.94,370.73,373.79,371.6,BCS,,,
2000,4,36631,2000.2896,374.09,371.07,373.93,370.89,374.09,371.07,BCS,,,
2000,5,36661,2000.3716,374.37,370.89,374.53,371.06,374.37,370.89,BCS,,,
2000,6,36692,2000.4563,372.61,370.89,372.91,371.23,372.61,370.89,BCS,,,
2000,7,36722,2000.5383,369.16,370.46,370.05,371.39,369.16,370.46,BCS,,,
2000,8,36753,2000.623,369.47,372.58,368.45,371.57,369.47,372.58,BCS,,,
2000,9,36784,2000.7077,368.27,371.75,368.26,371.74,368.27,371.75,BCS,,,
2000,10,36814,2000.7896,368.26,371.15,369.03,371.9,368.26,371.15,BCS,,,
2000,11,36845,2000.8743,371.14,372.45,370.77,372.06,371.14,372.45,BCS,,,
2000,12,36875,2000.9563,372.34,372.5,372.05,372.2,372.34,372.5,BCS,,,
2001,1,36906,2001.0411,373.55,373.05,372.84,372.34,373.55,373.05,BCS,,,
2001,2,36937,2001.126,374.78,373.35,373.91,372.46,374.78,373.35,BCS,,,
2001,3,36965,2001.2027,375.13,372.95,374.75,372.56,375.13,372.95,BCS,,,
2001,4,36996,2001.2877,374.72,371.72,375.67,372.65,374.72,371.72,BCS,,,
2001,5,37026,2001.3699,376.65,373.16,376.22,372.74,376.65,373.16,BCS,,,
2001,6,37057,2001.4548,374.91,373.13,374.56,372.83,374.91,373.13,BCS,,,
2001,7,37087,2001.537,373.05,374.3,371.62,372.91,373.05,374.3,BCS,,,
2001,8,37118,2001.6219,368.12,371.21,369.9,373,368.12,371.21,BCS,,,
2001,9,37149,2001.7068,368.71,372.2,369.61,373.09,368.71,372.2,BCS,,,
2001,10,37179,2001.789,372.57,375.46,370.31,373.19,372.57,375.46,BCS,,,
2001,11,37210,2001.874,371.61,372.93,371.99,373.29,371.61,372.93,BCS,,,
2001,12,37240,2001.9562,372.88,373.04,373.24,373.39,372.88,373.04,BCS,,,
2002,1,37271,2002.0411,374.02,373.53,374.02,373.51,374.02,373.53,BCS,,,
2002,2,37302,2002.126,,,375.09,373.64,375.09,373.64,BCS,,,
2002,3,37330,2002.2027,376.31,374.13,375.96,373.77,376.31,374.13,BCS,,,
2002,4,37361,2002.2877,375.79,372.79,376.94,373.93,375.79,372.79,BCS,,,
2002,5,37391,2002.3699,377.48,373.99,377.58,374.1,377.48,373.99,BCS,,,
2002,6,37422,2002.4548,376.08,374.31,376.04,374.3,376.08,374.31,BCS,,,
2002,7,37452,2002.537,372.53,373.78,373.22,374.52,372.53,373.78,BCS,,,
2002,8,37483,2002.6219,370.27,373.36,371.66,374.76,370.27,373.36,BCS,,,
2002,9,37514,2002.7068,371.9,375.39,371.55,375.03,371.9,375.39,BCS,,,
2002,10,37544,2002.789,372.25,375.14,372.43,375.3,372.25,375.14,BCS,,,
2002,11,37575,2002.874,374.21,375.53,374.3,375.59,374.21,375.53,BCS,,,
2002,12,37605,2002.9562,376.42,376.59,375.73,375.88,376.42,376.59,BCS,,,
2003,1,37636,2003.0411,376.12,375.63,376.69,376.18,376.12,375.63,BCS,,,
2003,2,37667,2003.126,377.51,376.07,377.93,376.49,377.51,376.07,BCS,,,
2003,3,37695,2003.2027,,,378.95,376.76,378.95,376.76,BCS,,,
2003,4,37726,2003.2877,380.32,377.32,380.06,377.05,380.32,377.32,BCS,,,
2003,5,37756,2003.3699,381.73,378.25,380.79,377.31,381.73,378.25,BCS,,,
2003,6,37787,2003.4548,378.85,377.07,379.3,377.57,378.85,377.07,BCS,,,
2003,7,37817,2003.537,,,376.5,377.8,376.5,377.8,BCS,,,
2003,8,37848,2003.6219,376.2,379.29,374.91,378.01,376.2,379.29,BCS,,,
2003,9,37879,2003.7068,,,374.72,378.2,374.72,378.2,BCS,,,
2003,10,37909,2003.789,,,375.49,378.37,375.49,378.37,BCS,,,
2003,11,37940,2003.874,377.54,378.86,377.22,378.51,377.54,378.86,BCS,,,
2003,12,37970,2003.9562,378.4,378.56,378.49,378.64,378.4,378.56,BCS,,,
2004,1,38001,2004.041,379.81,379.32,379.26,378.76,379.81,379.32,BCS,,,
2004,2,38032,2004.1257,379.57,378.14,380.31,378.86,379.57,378.14,BCS,,,
2004,3,38061,2004.2049,380.42,378.22,381.17,378.96,380.42,378.22,BCS,,,
2004,4,38092,2004.2896,382.16,379.14,382.09,379.06,382.16,379.14,BCS,,,
2004,5,38122,2004.3716,382.16,378.68,382.63,379.16,382.16,378.68,BCS,,,
2004,6,38153,2004.4563,381.97,380.24,380.95,379.27,381.97,380.24,BCS,,,
2004,7,38183,2004.5383,377.26,378.56,378.05,379.39,377.26,378.56,BCS,,,
2004,8,38214,2004.623,377.54,380.64,376.39,379.51,377.54,380.64,BCS,,,
2004,9,38245,2004.7077,,,376.16,379.64,376.16,379.64,BCS,,,
2004,10,38275,2004.7896,,,376.91,379.78,376.91,379.78,BCS,,,
2004,11,38306,2004.8743,,,378.64,379.92,378.64,379.92,BCS,,,
2004,12,38336,2004.9563,,,379.93,380.08,379.93,380.08,BCS,,,
2005,1,38367,2005.0411,379.7,379.2,380.76,380.25,379.7,379.2,BCS,,,
2005,2,38398,2005.126,381.04,379.61,381.89,380.44,381.04,379.61,BCS,,,
2005,3,38426,2005.2027,382.89,380.71,382.81,380.62,382.89,380.71,BCS,,,
2005,4,38457,2005.2877,383.89,380.89,383.84,380.83,383.89,380.89,BCS,,,
2005,5,38487,2005.3699,384.67,381.18,384.52,381.04,384.67,381.18,BCS,,,
2005,6,38518,2005.4548,383.78,382,382.99,381.25,383.78,382,BCS,,,
2005,7,38548,2005.537,379.6,380.86,380.16,381.46,379.6,380.86,BCS,,,
2005,8,38579,2005.6219,379.45,382.54,378.57,381.67,379.45,382.54,BCS,,,
2005,9,38610,2005.7068,,,378.4,381.88,378.4,381.88,BCS,,,
2005,10,38640,2005.789,380.02,382.92,379.21,382.08,380.02,382.92,BCS,,,
2005,11,38671,2005.874,380.42,381.74,380.99,382.29,380.42,381.74,BCS,,,
2005,12,38701,2005.9562,,,382.33,382.48,382.33,382.48,BCS,,,
2006,1,38732,2006.0411,,,383.19,382.68,383.19,382.68,BCS,,,
2006,2,38763,2006.126,,,384.33,382.88,384.33,382.88,BCS,,,
2006,3,38791,2006.2027,385.24,383.06,385.25,383.06,385.24,383.06,BCS,,,
2006,4,38822,2006.2877,,,386.27,383.26,386.27,383.26,BCS,,,
2006,5,38852,2006.3699,,,386.92,383.44,386.92,383.44,BCS,,,
2006,6,38883,2006.4548,386.12,384.34,385.37,383.63,386.12,384.34,BCS,,,
2006,7,38913,2006.537,384.8,386.05,382.51,383.81,384.8,386.05,BCS,,,
2006,8,38944,2006.6219,380.01,383.1,380.89,384,380.01,383.1,BCS,,,
2006,9,38975,2006.7068,379.27,382.75,380.71,384.19,379.27,382.75,BCS,,,
2006,10,39005,2006.789,380.81,383.71,381.51,384.38,380.81,383.71,BCS,,,
2006,11,39036,2006.874,,,383.29,384.59,383.29,384.59,BCS,,,
2006,12,39066,2006.9562,384.32,384.49,384.64,384.79,384.32,384.49,BCS,,,
2007,1,39097,2007.0411,387.33,386.84,385.52,385.01,387.33,386.84,BCS,,,
2007,2,39128,2007.126,,,386.67,385.22,386.67,385.22,BCS,,,
2007,3,39156,2007.2027,387.28,385.1,387.6,385.41,387.28,385.1,BCS,,,
2007,4,39187,2007.2877,388.18,385.18,388.64,385.63,388.18,385.18,BCS,,,
2007,5,39217,2007.3699,389.62,386.13,389.31,385.83,389.62,386.13,BCS,,,
2007,6,39248,2007.4548,,,387.77,386.04,387.77,386.04,BCS,,,
2007,7,39278,2007.537,,,384.94,386.24,384.94,386.24,BCS,,,
2007,8,39309,2007.6219,,,383.34,386.45,383.34,386.45,BCS,,,
2007,9,39340,2007.7068,,,383.16,386.65,383.16,386.65,BCS,,,
2007,10,39370,2007.789,,,383.96,386.83,383.96,386.83,BCS,,,
2007,11,39401,2007.874,,,385.73,387.02,385.73,387.02,BCS,,,
2007,12,39431,2007.9562,,,387.05,387.2,387.05,387.2,BCS,,,
2008,1,39462,2008.041,,,387.88,387.37,387.88,387.37,BCS,,,
2008,2,39493,2008.1257,,,388.98,387.53,388.98,387.53,BCS,,,
2008,3,39522,2008.2049,,,389.88,387.68,389.88,387.68,BCS,,,
2008,4,39553,2008.2896,391.17,388.14,390.85,387.82,391.17,388.14,BCS,,,
2008,5,39583,2008.3716,,,391.41,387.94,391.41,387.94,BCS,,,
2008,6,39614,2008.4563,389.93,388.2,389.74,388.06,389.93,388.2,BCS,,,
2008,7,39644,2008.5383,,,386.83,388.17,386.83,388.17,BCS,,,
2008,8,39675,2008.623,,,385.15,388.26,385.15,388.26,BCS,,,
2008,9,39706,2008.7077,,,384.87,388.35,384.87,388.35,BCS,,,
2008,10,39736,2008.7896,,,385.56,388.43,385.56,388.43,BCS,,,
2008,11,39767,2008.8743,387.89,389.2,387.21,388.5,387.89,389.2,BCS,,,
2008,12,39797,2008.9563,387.92,388.08,388.41,388.56,387.92,388.08,BCS,,,
2009,1,39828,2009.0411,387.34,386.85,389.13,388.63,387.34,386.85,BCS,,,
