Year,CO2,,-------------------------------------------------------------------------------------------
13.3,276.75,,"  Atmospheric CO2 record based on ice core data before 1958,                               "
29.5,277.88,,"  (Ethridge et. al., 1996; MacFarling Meure et al., 2006) and                              "
56,277.38,,  yearly averages of direct observations from Mauna Loa and the South Pole after and       
104.5,277.51,,  including 1958 (from Scripps CO2 Program).                                               
136,278.13,,                                                                                           
168.2,280.05,,  in situ data is based on simple average of Mauna Loa and South Pole from values on Jan 1 
202.5,280.72,,                                                                                              
227.9,281.49,,"  For Mauna Loa Observatory, Hawaii: Latitude 19.5¡N Longitude 155.6¡W Elevation 3397m     "
274.2,280.13,,  For South Pole: Latitude 90.0¡S Elevation 2810m                                          
302.3,279.83,,                                                                                           
329.2,278.92,,"   Scripps CO2 Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker     "
364.6,277.05,,   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      
428.4,276.91,,   Scripps Institution of Oceanography (SIO)                                               
461.2,276.72,,   University of California                                                                
499.8,276.36,,"   La Jolla, California USA 92093-0244                                                     "
536.7,276,,                                                                                           
572,277.56,,   Status of Scripps CO2 data and correspondence:                                          
595.6,276.9,,                                                                                           
632,278.25,,   These data are subject to revision based on recalibration of standard gases. Questions  
667.9,279.39,,   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          
698.4,279.7,,"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
729.7,278.53,,                                                                                           
764.5,278.53,,                                                                                           
799.2,278.55,,-------------------------------------------------------------------------------------------
857.3,279.34,,http://scrippsco2.ucsd.edu/data/atmospheric_co2/icecore_merged_products
897.4,278.91,,
944.2,279.12,,
968.2,278.46,,
1005,280.5,,
1025.2,280.83,,
1058,282.76,,
1105.4,282.75,,
1159.6,283.88,,
1207.4,283.6,,
1257.6,282.11,,
1275.8,281.13,,
1306.5,281.5,,
1349.7,280.06,,
1411.3,279.62,,
1429.3,279.54,,
1431,282.52,,
1560.4,281.75,,
1588.3,281.03,,
1610.4,271.83,,
1628.9,274.5,,
1640.1,276.62,,
1689.6,276.25,,
1722.8,276.94,,
1734.1,278.23,,
1742.7,276.74,,
1752,276.39,,
1763.5,276.32,,
1773.7,277.78,,
1780.6,276.78,,
1794.4,281.54,,
1799.6,281.15,,
1814.2,284.34,,
1826.2,281.28,,
1834.5,283.73,,
1838,284.07,,
1844,286.5,,
1846,284.13,,
1849,287.73,,
1852.3,288.57,,
1854,287.03,,
1859,286.48,,
1864,285.41,,
1867,285.22,,
1869.1,287.69,,
1873,287.17,,
1874,290.52,,
1884,289.81,,
1884.4,289.01,,
1886,290.62,,
1889,291.87,,
1894,293.84,,
1896,298.16,,
1899,296.1,,
1902,295.32,,
1904,295.12,,
1909,300.45,,
1911.5,298.39,,
1914,300.35,,
1918.6,303.27,,
1919,303.55,,
1923,303.2,,
1923.6,305.2,,
1928.8,307.77,,
1929,305.72,,
1933,307.21,,
1934.5,307.82,,
1936.5,308.99,,
1938,309.56,,
1939,310.94,,
1940,311.9,,
1941,310.7,,
1941.5,310.3,,
1942,311.29,,
1943,310.77,,
1944,311.59,,
1945,309.75,,
1946,311.46,,
1947,310.75,,
1948,310.47,,
1949,311.15,,
1950,312.55,,
1953,312.06,,
1954,311.68,,
1955,313.64,,
1957,314.04,,
1958,314.6,,
1959,315.37,,
1960,316.39,,
1961,317.49,,
1962,318.07,,
1963,318.47,,
1964,318.88,,
1965,319.29,,
1966,320.45,,
1967,321.43,,
1968,322.06,,
1969,323.15,,
1970,324.48,,
1971,325.4,,
1972,326.09,,
1973,327.68,,
1974,329.19,,
1975,329.76,,
1976,330.89,,
1977,332.04,,
1978,333.88,,
1979,335.2,,
1980,336.9,,
1981,338.58,,
1982,339.66,,
1983,340.89,,
1984,342.89,,
1985,344.14,,
1986,345.54,,
1987,346.95,,
1988,349.19,,
1989,351.06,,
1990,352.28,,
1991,353.78,,
1992,354.86,,
1993,355.69,,
1994,356.77,,
1995,358.68,,
1996,360.58,,
1997,361.83,,
1998,363.63,,
1999,366.36,,
2000,367.61,,
2001,368.91,,
2002,370.69,,
2003,373.1,,
2004,375.19,,
2005,376.94,,
2006,379.29,,
2007,381.01,,
2008,383.08,,
2009,384.82,,
2010,386.72,,
2011,388.93,,
2012,390.71,,
2013,393.31,,
2014,395.88,,
2015,397.84,,
2016,400.66,,
